github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\TimestampAligner.cs                                                                                   11             34             90
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ObjectTemplate.xml                                                                        0              0             90
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ImageSpaceAdapter.xml                                                                         0              0             90
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PackageBranch.cs                                                                              9              0             89
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedTrap.xml                                                                                0              0             89
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\RemappingMixIn.cs                                                                                           11              0             88
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\TypedParseParams.cs                                                                        14              0             88
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\IdleMarker.cs                                                                                11              2             88
.\MunitionAutoPatcher\Services\Implementations\MutagenAccessor.cs                                                                                          12             10             87
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_mlvg144i_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             87
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ArmorAddon.xml                                                                                0              0             87
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\StoryManagerNodes.xml                                                                         0              0             87
.\tests\LinkCacheHelperTests\SettingsAndMapperTests.cs                                                                                                     13              6             87
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_nqaxnjld_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             86
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\CompositeReadStream.cs                                                                          11              4             86
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\LiveLoadOrderProvider.cs                                                                               9              5             86
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\IGroup.cs                                                                                              41            153             86
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\RegionData.cs                                                                                12              0             85
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_khkpr1qt_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             84
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_o12d15ra_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             84
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_zsxama5l_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             84
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\SubrecordException.cs                                                                               12             18             84
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Masters\DI\TransitiveMasterLocator.cs                                                                          12              1             84
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_rmiighj0_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             83
.\MunitionAutoPatcher\obj\MunitionAutoPatcher_zullirnq_wpftmp.csproj.nuget.dgspec.json                                                                      0              0             83
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\ModHeader.cs                                                                                    32             92             83
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\PercentBinaryTranslation.cs                                                                 5              0             83
.\tests\AutoTests\obj\Release\net8.0-windows\AutoTests.csproj.FileListAbsolute.txt                                                                          0              0             83
.\tests\LinkCacheHelperTests\LinkResolverTests.cs                                                                                                          13              4             83
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\FloatBinaryTranslationExt.cs                                                                4              0             82
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\DI\ModImporter.cs                                                                                      15              0             82
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\VariableHeader.cs                                                                               34             99             81
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ExtraData.cs                                                                              7              0             81
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedObjectMapMarker.cs                                                                      2              0             81
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Water.xml                                                                                     0              0             81
.\tests\LinkCacheHelperTests\MutagenEnvironmentTests.cs                                                                                                    14              2             81
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Fallout4ModHeader.cs                                                                                       10              0             80
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\CombatStyle.xml                                                                               0              0             80
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\DuplicateFromMixIn.cs                                                                                       13             42             78
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\NavigationMeshInfoMap.xml                                                                     0              0             78
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\ModDecompressor.cs                                                                           10             16             77
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\EffectShader.xml                                                                              0              0             77
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Furniture.xml                                                                                 0              0             76
.\tests\LinkCacheHelperTests\ConfirmReverseMapCancellationTests.cs                                                                                         10              4             76
.\tests\LinkCacheHelperTests\WeaponDataExtractor_IsNullAndAmmoTests.cs                                                                                     13              4             76
.\MUTAGEN_API_REFERENCE.md                                                                                                                                 21              0             75
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\IBinaryStreamExt.cs                                                                                          5             28             75
.\mutagen-tmp\Mutagen.Bethesda.Core\Inis\DI\IIniPathLookup.cs                                                                                              16              0             75
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\GroupMergeGetter.cs                                                                                    24              0             75
.\MunitionAutoPatcher\Services\Implementations\ReverseMapBuilder.cs                                                                                         9              5             74
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\PrimitiveBinaryTranslationExt.cs                                                            4              0             73
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\CreationClubListings.cs                                                                                   6              0             73
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\MutagenEncoding.cs                                                                                             12              0             73
.\SECURITY.md                                                                                                                                              32              0             72
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\RecordTypeBinaryTranslation.cs                                                             11              0             72
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Extensions\IModExt.cs                                                                                          15             58             72
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PackageScriptFragments.cs                                                                     6              0             72
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\GetOrAddAsOverrideMixIns.cs                                                                                  4             24             71
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\BooleanBinaryTranslationExt.cs                                                              4              1             71
.\tests\LinkCacheHelperTests\DiagnosticWriterTests.cs                                                                                                      13              7             71
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\EnumBinaryTranslationExt.cs                                                                 5              0             70
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\DialogResponses.xml                                                                           0              0             70
.\tests\LinkCacheHelperTests\WeaponDataExtractorTests.cs                                                                                                   19              6             70
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Bsa\BsaFolderRecord.cs                                                                                        14              0             69
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\DI\GetArchiveIniListings.cs                                                                                   13             23             69
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\IFormLink.cs                                                                                                   15             41             69
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Utility\MajorRecordInstantiator.cs                                                                              9             15             69
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Extensions\GameSettingsGroupMixin.cs                                                                                9              0             69
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Extensions\GlobalGroupMixin.cs                                                                                      9              0             69
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\GameSetting.cs                                                                                5              0             69
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\FindImplicitlyIncludedMods.cs                                                                          7              8             68
.\mutagen-tmp\Mutagen.Bethesda.Core\Assets\DI\ArchiveAssetProvider.cs                                                                                      13              0             67
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\Alignment\SandwichedMarkersRule.cs                                                           11              0             67
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Book.xml                                                                                      0              0             67
.\MunitionAutoPatcher.sln                                                                                                                                   1              1             66
.\mutagen-tmp\Directory.Packages.props                                                                                                                      0              0             66
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Meta\GroupConstants.cs                                                                                          9              0             66
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Fallout4ListGroup.cs                                                                                       12              0             66
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\BodyPartData.xml                                                                              0              0             66
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Faction.xml                                                                                   0              0             66
.\mutagen-tmp\Mutagen.Bethesda.Kernel\Plugins\ModPath.cs                                                                                                   14             15             66
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\AssetLinkRemappingMixIn.cs                                                                                   8              0             65
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\BinaryOverlayArray2d.cs                                                                         10              0             65
.\mutagen-tmp\Mutagen.Bethesda.Core\Environments\DI\IGameDirectoryLookup.cs                                                                                15             22             64
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\AListGroup.cs                                                                                          34             19             64
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Fallout4Group.cs                                                                                            9              0             64
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\DI\GetApplicableArchivePaths.cs                                                                               10             12             63
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\DataTypes\InstructionOpCodeArguments.cs                                                                             4              2             63
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Parameters\ALowerRangeDisallowedHandlerOption.cs                                                        13             24             63
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\IO\DI\AssociatedFilesLocator.cs                                                                                10              9             63
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ATopicReference.cs                                                                        4              0             63
.\tests\LinkCacheHelperTests\TryResolveFormKeyTests.cs                                                                                                      9              4             63
.\MunitionAutoPatcher\Services\Implementations\ReflectionFallbackDetector.cs                                                                               10             12             62
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\FormLinkListMixIn.cs                                                                                        11              0             62
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\Decompression.cs                                                                                10              6             62
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\LoadOrderWriter.cs                                                                                     5              1             62
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\P2Int16BinaryTranslation.cs                                                                         8              0             62
.\tests\LinkCacheHelperTests\CandidateEnumeratorTests.cs                                                                                                   12              1             62
.\tests\WeaponDataExtractorTests\WeaponDataExtractorTests.cs                                                                                               18              7             62
.\.github\workflows\ci.yml                                                                                                                                 15              0             61
.\PR_BODY_LinkCacheHelper.md                                                                                                                               11              0             61
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\PexWriter.cs                                                                                                       11              0             61
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\MutagenBinaryReadStream.cs                                                                       9             37             61
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MagicEffectArchetype.cs                                                                       4              0             61
.\mutagen-tmp\Mutagen.Bethesda.Core\Assets\AssetTypeLocator.cs                                                                                             13             16             60
.\mutagen-tmp\Mutagen.Bethesda.Core\Fonts\DI\FontProvider.cs                                                                                               15             14             60
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ScriptFragments.cs                                                                        6              0             60
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\GlobalBool.cs                                                                                 8              0             60
.\MunitionAutoPatcher\DebugConsole.cs                                                                                                                       8             12             59
.\MunitionAutoPatcher\Views\MainWindow.xaml                                                                                                                 6              6             59
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\GlobalInt.cs                                                                                  8              0             59
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\GlobalShort.cs                                                                                7              0             59
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Terminal.xml                                                                                  0              0             59
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Bsa\BsaUtility.cs                                                                                             10              0             58
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ParseResult.cs                                                                              8              0             58
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\Patrol.cs                                                                                10              0             58
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\CreationClubLiveListingsFileReader.cs                                                                  5              0             57
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\PluginLiveLoadOrderProvider.cs                                                                         6              0             57
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ObjectModProperty.cs                                                                      7              0             57
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ScenePhase.cs                                                                                10              0             57
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\SoundDescriptor.xml                                                                           0              0             57
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\UnmappableFormIDException.cs                                                                         7              0             56
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Landscape.xml                                                                                 0              0             56
.\tests\LinkCacheHelperTests\LinkCacheHelper_AdditionalTests.cs                                                                                             8              4             56
.\mutagen-tmp\Mutagen.Bethesda.Core\Fonts\DI\GetFontConfigListing.cs                                                                                       11             18             55
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\BinaryOverlayNumberedList.cs                                                                     8              0             55
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\RecordTypeConverter.cs                                                                           8             30             55
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\PluginListingsPathProvider.cs                                                                          8              0             55
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Holotape.xml                                                                                  0              0             55
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\SoundOutputModel.xml                                                                          0              0             55
.\MunitionAutoPatcher\Services\Implementations\RobCoIniGenerator.cs                                                                                        10              5             54
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\Enums\InstructionOpcode.cs                                                                                          3              1             54
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Parameters\BinaryWriteParameters.cs                                                                     22             79             54
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\ModRecordSorter.cs                                                                            7              2             54
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\VirtualMachineAdapterIndexed.cs                                                           7              0             54
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Light.xml                                                                                     0              0             54
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedNpc.xml                                                                                 0              1             54
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\Alignment\AlignmentSubRule.cs                                                                 5              3             53
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\TypedWriteParams.cs                                                                         9              0             53
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\MissingRecordException.cs                                                                            7              0             53
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MovementType.xml                                                                              0              0             53
.\tests\LinkCacheHelperTests\ReverseMapBuilderTests.cs                                                                                                     10              1             53
.\CHANGELOG.md                                                                                                                                             18              0             52
.\MunitionAutoPatcher\obj\Release\net8.0-windows\Views\MainWindow.g.cs                                                                                     11             14             52
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\Condition.xml                                                                             0              2             52
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ADamageType.cs                                                                                5              0             52
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Explosion.xml                                                                                 0              0             52
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ImageSpace.xml                                                                                0              0             52
.\MunitionAutoPatcher\Services\Implementations\DetectorFactory.cs                                                                                           4             12             51
.\MunitionAutoPatcher\Services\Implementations\LinkResolver.cs                                                                                              8              7             51
.\docs\spaces-mcp-recommendation.md                                                                                                                        10              0             51
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ByteArrayBinaryTranslationExt.cs                                                            2              0             51
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\CreationClubListingsProvider.cs                                                                        8              8             51
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\EffectShader.cs                                                                               4              0             51
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\StoryManagerEventNode.cs                                                                      2              0             51
.\MunitionAutoPatcher\Utilities\MutagenTypeGuards.cs                                                                                                        7             10             50
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\LoadOrderListingsProvider.cs                                                                           9              1             50
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Utility\HeaderVersionHelper.cs                                                                                  3              0             50
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PerkScriptFragments.cs                                                                        8              0             50
.\MunitionAutoPatcher\obj\Release\net8.0-windows\App.g.cs                                                                                                  11             17             49
.\MunitionAutoPatcher\obj\Release\net8.0-windows\Views\MapperView.g.cs                                                                                     11             14             49
.\MunitionAutoPatcher\obj\Release\net8.0-windows\Views\SettingsView.g.cs                                                                                   11             14             49
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\RecordLocationMarker.cs                                                                                9              0             49
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\Destructible.xml                                                                          0              0             49
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\DialogResponse.cs                                                                             7              2             49
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Projectile.xml                                                                                0              0             49
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\Extensions\BinaryWriterExtensions.cs                                                                                8              0             48
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\MasterFlagsLookupProvider.cs                                                                           9              0             48
.\.github\ISSUE_TEMPLATE\config_issue.md                                                                                                                   24              8             47
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\Mapping\MajorRecordTypeEnumerator.cs                                                                    9              0             47
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\LocationTargetRadius.xml                                                                  0              0             47
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\QuestFragmentAlias.cs                                                                         9              1             47
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Subgraph.cs                                                                                   6              0             47
.\MunitionAutoPatcher\Commands\AsyncRelayCommand.cs                                                                                                        10              3             46
.\MunitionAutoPatcher\ViewModels\AmmoViewModel.cs                                                                                                           8              3             46
.\README_diff.md                                                                                                                                           17              0             46
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ModKeyBinaryTranslation.cs                                                                  9              0             46
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\IMajorRecordIdentifier.cs                                                                               9              3             46
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Activator.xml                                                                                 0              0             46
.\mutagen-tmp\Mutagen.Bethesda.Core\Fonts\DI\GetFontConfig.cs                                                                                              10             13             45
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Assets\AssetLinkExt.cs                                                                                         15              6             45
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\ModFlags.cs                                                                                            13             24             45
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Utility\RecordTypeInfoCacheReader.cs                                                                            8              3             45
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Warmup.cs                                                                                                       8              7             45
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\BodyPartData.cs                                                                               2              0             45
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MiscItem.xml                                                                                  0              0             45
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedPrimitive.cs                                                                            5              0             45
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\RecordCompactionCompatibilityDetection.cs                                                             11              0             44
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\ImmutableManyListWrapper.cs                                                                     10              0             44
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\Alignment\AlignmentStraightRecord.cs                                                          5              0             44
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\DI\ArchiveReaderProvider.cs                                                                                    5              6             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Assets\DI\DataDirectoryAssetProvider.cs                                                                                 8              0             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\IIdentifierLinkCache.cs                                                                                  29            391             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\FloatStoredAsIntegerOverflowException.cs                                                             6              0             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\FormIDCompactionOutOfBoundsException.cs                                                              4              0             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\CreationClubLiveLoadOrderFolderWatcher.cs                                                              6              0             43
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Ammunition.xml                                                                                0              0             43
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ConstructibleObject.xml                                                                       0              0             43
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\Interfaces\IHasUserFlag.cs                                                                                          6              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\BinaryOverlayArrayHelper.cs                                                                      4              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\DictBinaryTranslation.cs                                                                    4              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ExtraLengthHeaderExport.cs                                                                  5              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\LoquiBinaryOverlayTranslation.cs                                                            4              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Extensions\ModContextExt.cs                                                                                     5              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Masters\DI\MasterFlagsLookupCompiler.cs                                                                         5              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\TimestampedPluginListingsProvider.cs                                                                   5              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\TypedLoadOrderAccess.cs                                                                                   9             30             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\IMod.cs                                                                                                23            120             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\BooleanBinaryTranslation.cs                                                                         7              0             42
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\PrimitiveBinaryTranslation.cs                                                                       9              0             42
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\FindMatchingRefNearAlias.cs                                                                   6              0             42
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Ingestible.xml                                                                                0              0             42
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\LeveledItem.xml                                                                               0              0             42
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\LightingTemplate.xml                                                                          0              0             42
.\mutagen-tmp\Mutagen.Bethesda.Kernel\GameCategory.cs                                                                                                       5              3             42
.\MunitionAutoPatcher\Services\Implementations\CobjCandidateProvider.cs                                                                                     7              4             41
.\MunitionAutoPatcher\Services\Implementations\MutagenEnvironmentFactory.cs                                                                                 5              1             41
.\mutagen-tmp\Mutagen.Bethesda.Core\Assets\DI\AssetProviderMixIn.cs                                                                                         8             12             41
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\CompressionExport.cs                                                                        8              6             41
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\GlobalCustomParsing.cs                                                                     10             21             41
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\PluginListingsProvider.cs                                                                              5              3             41
.\MunitionAutoPatcher\ViewModels\WeaponMappingViewModel.cs                                                                                                  7              3             40
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Bsa\BsaFileNameBlock.cs                                                                                        3              2             40
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\DataTypes\DebugInfo.xml                                                                                             0              0             40
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\DI\OrderListings.cs                                                                                       5             20             40
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\DI\ModActivator.cs                                                                                      9              0             40
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Fallout4ModHeader.xml                                                                                       0              0             40
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\GameSettingBool.cs                                                                            5              0             40
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Ingredient.xml                                                                                0              0             40
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\TintTemplateOption.cs                                                                         2              0             40
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\ModPathException.cs                                                                                  6              0             39
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\APerkEffect.cs                                                                                9              0             39
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ActorValueInformation.cs                                                                      2              0             39
.\MunitionAutoPatcher\Services\Implementations\ResourcedMutagenEnvironment.cs                                                                               9              7             38
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\OverrideMaskRegistrations.cs                                                                    6              1             38
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\IMajorRecordContextEnumerable.cs                                                                        9             32             38
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\DialogResponses.cs                                                                            4              0             38
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\DistantLod.cs                                                                                 5              0             38
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Static.xml                                                                                    0              0             38
.\mutagen-tmp\README.md                                                                                                                                    12              0             38
