github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\InternalImmutableModLinkCache.cs                                      62              0            427
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\StringBinaryTranslation.cs                                                                 26              4            407
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\DataTypes\PexObject.cs                                                                                             65             12            402
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\Alignment\ModRecordAligner.cs                                                                30              7            402
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\FaceFxPhonemes.cs                                                                            38              2            393
.\mutagen-tmp\Mutagen.Bethesda.Core\Installs\GameLocator.cs                                                                                                26              0            392
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Ba2\Ba2Reader.cs                                                                                              54              3            389
.\MunitionAutoPatcher\ViewModels\MapperViewModel.cs                                                                                                        40             24            384
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\MutagenFrame.cs                                                                                 93            132            380
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ObjectModification.cs                                                                        24              0            380
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\GenderedItem.cs                                                                                        42             38            375
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Processing\BinaryFileProcessor.cs                                                                       40              9            373
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\ListsModsMixIn.cs                                                                                           55            319            372
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\RecordSpanExtensions.cs                                                                    35             76            351
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Race.cs                                                                                      48              5            349
.\mutagen-tmp\Mutagen.Bethesda.Kernel\Plugins\ModKey.cs                                                                                                    57            127            348
.\tests\LinkCacheHelperTests\obj\Debug\net8.0-windows\LinkCacheHelperTests.csproj.FileListAbsolute.txt                                                      0              0            335
.\tests\LinkCacheHelperTests\obj\Release\net8.0-windows\LinkCacheHelperTests.csproj.FileListAbsolute.txt                                                    0              0            335
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\HeaderExt.cs                                                                                    56            290            333
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\GenderedItemBinaryOverlay.cs                                                                    31              2            333
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Phoneme.cs                                                                                   47              3            331
.\tests\WeaponDataExtractorTests\obj\Debug\net8.0-windows\WeaponDataExtractor.Tests.csproj.FileListAbsolute.txt                                             0              0            330
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Exceptions\RecordException.cs                                                                                  41            100            327
.\MunitionAutoPatcher\Utilities\MutagenReflectionHelpers.cs                                                                                                33             36            326
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\HeaderTranslation.cs                                                                       25              0            323
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\FormLinkMixIn.cs                                                                                            50            134            314
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Exceptions\ArchiveException.cs                                                                                44              0            313
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Npc.cs                                                                                       27              5            313
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\AVirtualMachineAdapter.cs                                                                23              0            312
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\DialogTopic.cs                                                                               14              0            308
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\FormKey.cs                                                                                                     58            155            303
.\DECISIONS.md                                                                                                                                             90              0            300
